                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
1 160 45.9654 27.6901 86.3446 123.348 0.191858 0.0936874 0.0491382 0.0124875 0.0538297 0.116107 0.0733342 0.0364379 0.0487608 
2 781 213.58 96.9837 470.437 650.02 0.146733 0.0403672 0.0224367 0.00641017 0.055721 0.069649 0.065176 0.04069 0.0741425 
3 711 192.033 66.3737 452.593 638.28 0.161248 0.0402742 0.0217342 0.00379227 0.060727 0.0390513 0.067247 0.0618782 0.101628 
4 447 184.979 41.729 220.292 461.862 0.148669 0.0462754 0.0241418 0.00319391 0.0631277 0.0595103 0.0858568 0.0593458 0.0307896 
5 270 136.067 16.1166 117.817 287.251 0.205424 0.0583839 0.0291713 0.00247409 0.0698854 0.105561 0.0960991 0.0773743 0.0817575 
6 217 105.195 10.838 100.967 200.715 0.242111 0.0714843 0.0357696 0.000929891 0.0769422 0.180459 0.101279 0.0425495 0.0409164 
7 125 83.6282 5.84079 35.531 148.009 0.252398 0.0797857 0.0458947 0.00530105 0.0852928 0.172346 0.121995 0.0473477 0.0331997 
8 82 46.4197 1.86859 33.7117 95.9719 0.264741 0.0992961 0.0585016 0.00149174 0.0877505 0.136733 0.115253 0.0647721 0.113703 
9 47 31.6088 3.70405 11.6872 63.1172 0.310674 0.119241 0.0720291 0 0.10508 0.211607 0.115439 0.0473283 0.0756737 
10 26 23.2722 1.45481 1.27295 48.9913 0.472151 0.125558 0.0865494 0.00401897 0.115503 0.385932 0.122011 0.0502182 0.141285 
11 23 11.3507 1.05539 10.5939 25.2165 0.473255 0.196016 0.117695 0 0.12236 0.365209 0.122054 0.0459914 0.0795844 
12 18 10.5617 3.93907 3.49919 23.2889 0.506398 0.197759 0.129738 0 0.111981 0.406219 0.113233 0.0520049 0.0861307 
13 10 6.44211 0 3.55789 14.7317 0.589499 0.242143 0.162095 0 0.125067 0.431495 0.235738 0.0635491 0.0340565 
14 8 6.79337 0.406599 0.800033 10.9179 0.754146 0.285768 0.177308 0 0.101804 0.637754 0.186945 0.0552996 0.0231003 
15 3 3.34358 0 -0.343584 5.28279 1.34025 0.388581 0.276429 0 0.152842 1.17737 0.33939 0.115959 0.17513 
16 4 2.77278 0 1.22722 4.56552 1.06293 0.457357 0.295949 0 0.12092 0.858119 0.247782 0.0779633 0.120792 
17 0 1.96685 0 -1.96685 2.83582 2.48202 0.4199 0.437175 0 0.199983 2.37354 0.335835 0.0762311 0.0263434 
18 1 3.02185 0 -2.02185 3.7022 1.96458 0.376972 0.476484 0 0.122056 1.82334 0.384134 0.0284171 0.0508688 
19 0 1.31868 0 -1.31868 1.99904 0.814033 0.50012 0.449033 0 0.177524 0 0.412421 0.0399208 0.0877451 
20 1 1.12535 0 -0.125349 1.12535 4.51231 0.923566 0.637335 0 0.069816 4.35936 0.303176 0.022 0.022 
21 2 0.588456 0 1.41154 0.588456 3.76039 1.49068 0.972498 0 0.240379 3.2967 0.213669 0.022 0.022 
22 0 0.39005 0 -0.39005 0.730227 3.08067 0.827477 0.889921 0 0.209069 2.81049 0.233863 0.0506264 0.11833 
23 1 0.907136 0 0.0928645 0.907136 3.65232 1.06658 0.803425 0 0.271094 3.37048 0.348975 0.022 0.022 
24 0 0.731918 0 -0.731918 0.731918 3.83581 0.826521 0.901089 0 0.336414 3.57903 0.542902 0.022 0.022 
25 1 3.83422 0.324397 -3.15861 4.55204 1.38338 0.317153 0.299377 0 0.094036 1.28049 0.271439 0.0221142 0.0297117 
26 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
27 160 45.9654 27.6901 7.0298 2.58243 1.00379 0.707196 0.391922 0 0.0682331 0.553643 0.141583 0.142464 0.0483968 
28 781 213.58 96.9837 79.4915 93.6911 0.410101 0.108032 0.054176 0.00431443 0.0551695 0.115091 0.0990692 0.244411 0.260225 
29 711 192.033 66.3737 186.785 284.66 0.259701 0.0600641 0.0312145 0.00317701 0.0576842 0.0431241 0.0676286 0.143709 0.180109 
30 447 184.979 41.729 187.107 396.101 0.202543 0.0494262 0.0257221 0.0028946 0.0587661 0.0615684 0.0842199 0.094256 0.121199 
31 270 136.067 16.1166 185.449 345.439 0.208181 0.0537403 0.0255142 0.00147494 0.0657131 0.0578607 0.081436 0.0898862 0.131987 
32 217 105.195 10.838 100.401 326.518 0.190368 0.0535057 0.0275094 0.0005396 0.0676641 0.0603695 0.11293 0.0714554 0.0808576 
33 125 83.6282 5.84079 52.4823 245.737 0.183264 0.0601627 0.0331865 0.00133616 0.0734885 0.069763 0.100917 0.062708 0.0669262 
34 82 46.4197 1.86859 32.4713 179.125 0.256974 0.0705242 0.0406937 0 0.0810118 0.18029 0.100706 0.0653198 0.0770095 
35 47 31.6088 3.70405 14.7703 136.366 0.216274 0.0792984 0.0466562 0 0.0914281 0.123475 0.107852 0.0497877 0.0243548 
36 26 23.2722 1.45481 13.5758 105.691 0.25262 0.0890745 0.0550658 0.000653185 0.10266 0.143026 0.120637 0.0478083 0.0708183 
37 23 11.3507 1.05539 9.26006 78.7774 0.311657 0.10128 0.0651806 0 0.106772 0.197829 0.0933549 0.0633361 0.139144 
38 18 10.5617 3.93907 2.61634 59.4967 0.421015 0.11674 0.0811089 0 0.121679 0.302693 0.140055 0.0631612 0.164356 
39 10 6.44211 0 -6.20516 45.8813 0.392643 0.119891 0.0986512 0.00368546 0.127521 0.239247 0.115221 0.0825258 0.19095 
40 8 6.79337 0.406599 -1.46485 37.1086 0.384576 0.129048 0.106758 0 0.136537 0.212165 0.107446 0.0730546 0.198268 
41 3 3.34358 0 -2.43142 19.0252 0.452569 0.18978 0.1434 0 0.104491 0.328683 0.132256 0.0636891 0.0879775 
42 4 2.77278 0 2.03898 12.2253 0.649719 0.270313 0.174344 0 0.24438 0.475805 0.158437 0.0691943 0.0516483 
43 0 1.96685 0 -0.16355 7.6765 0.617139 0.292787 0.257015 0 0.115994 0.403336 0.133151 0.108554 0.153074 
44 1 3.02185 0 -0.0453125 5.1191 1.49196 0.422709 0.267472 0 0.110696 1.39163 0.136544 0.0366416 0.0827416 
45 0 1.31868 0 -0.588114 4.73062 0.997874 0.381148 0.278147 0 0.180773 0.840211 0.161622 0.0889105 0.0212768 
46 1 1.12535 0 -2.37297 2.56969 2.22064 0.441108 0.385343 0 0.229223 2.09699 0.369956 0.0232409 0.0291382 
47 2 0.588456 0 -0.393431 1.47822 1.11967 0.581588 0.58206 0 0.194982 0.693766 0.190485 0.142955 0.0237419 
48 0 0.39005 0 2.40985 0.983577 3.47041 1.14466 0.658722 0 0.127148 3.20032 0.170124 0.0449088 0.102227 
49 1 0.907136 0 1.38296 0.957221 2.67646 1.12448 0.80558 0 0.0996394 2.24918 0.413787 0.0411571 0.0913835 
50 0 0.731918 0 0.659822 0.340178 3.49096 1.94126 1.76178 0 0.366432 2.18065 0.651129 0.022 0.022 
51 1 3.83422 0.324397 2.21348 6.17995 1.95914 0.41844 0.221337 0 0.0859261 1.88591 0.221039 0.0228654 0.0271377 
52 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
53 160 45.9654 27.6901 8.27267 35.5342 0.536171 0.168874 0.101225 0.0137486 0.0470243 0.489307 0.0729435 0.0263501 0.0296199 
54 781 213.58 96.9837 30.5768 174.659 0.217213 0.0755461 0.043795 0.0121755 0.0512952 0.169276 0.0828761 0.0269254 0.0229978 
55 711 192.033 66.3737 28.3188 181.03 0.220533 0.0734568 0.0440123 0.0063333 0.0543972 0.161324 0.101986 0.0335877 0.0273471 
56 447 184.979 41.729 33.1931 147.995 0.245639 0.0822934 0.0463907 0.00518003 0.0617464 0.180139 0.111954 0.0312952 0.0401421 
57 270 136.067 16.1166 21.0521 117.958 0.34949 0.0920793 0.0487403 0.00581483 0.0676699 0.282247 0.141615 0.0365266 0.0749901 
58 217 105.195 10.838 19.2223 80.322 0.307112 0.113035 0.0586348 0.00797135 0.0813565 0.219305 0.14159 0.024842 0.0515838 
59 125 83.6282 5.84079 7.90322 49.0961 0.339272 0.142177 0.0782017 0.00383434 0.0767967 0.255265 0.12853 0.024044 0.0245857 
60 82 46.4197 1.86859 -2.78291 40.5374 0.47921 0.148604 0.0851776 0.00340602 0.106741 0.406403 0.147602 0.036845 0.0243163 
61 47 31.6088 3.70405 -9.11506 29.5755 0.505068 0.162349 0.0999735 0 0.0878614 0.427491 0.16329 0.0267105 0.029937 
62 26 23.2722 1.45481 -6.44433 21.1519 0.529813 0.19415 0.120951 0.00920877 0.112753 0.431265 0.168477 0.0260319 0.0229887 
63 23 11.3507 1.05539 3.4673 12.4837 0.684926 0.284919 0.192406 0 0.112731 0.543828 0.193816 0.0586143 0.0382954 
64 18 10.5617 3.93907 0.183774 8.03152 0.85455 0.344499 0.21588 0 0.0994804 0.705945 0.220862 0.0539663 0.0708796 
65 10 6.44211 0 1.3695 6.87103 1.28641 0.382672 0.222089 0 0.0957244 1.19693 0.117864 0.029912 0.0501968 
66 8 6.79337 0.406599 -0.67174 6.65016 1.09214 0.350957 0.236528 0 0.124129 0.951578 0.298496 0.0366675 0.0478987 
67 3 3.34358 0 -3.3087 3.50373 2.16311 0.377763 0.308906 0 0.0997155 2.09378 0.214501 0.0206932 0.0243211 
68 4 2.77278 0 1.14273 2.19744 1.5796 0.706843 0.418395 0 0.113392 1.29099 0.371838 0.026713 0.044461 
69 0 1.96685 0 -3.34252 3.34252 5.81566 0.386765 0.342367 0 0.109406 5.78813 0.19991 0.0193238 0.0193238 
70 1 3.02185 0 -1.24978 2.62241 1.36109 0.497481 0.391096 0 0.141461 1.17391 0.217855 0.0632421 0.0509375 
71 0 1.31868 0 1.26977 0.730227 3.34998 1.31797 0.889921 0 0.131085 2.9218 0.371871 0.022 0.022 
72 1 1.12535 0 -0.23556 1.23556 1.63275 0.866272 0.615965 0 0.087888 1.22511 0.164869 0.0104478 0.0104478 
73 2 0.588456 0 0.60995 0.39005 4.57588 1.7939 1.32769 0 0.125772 3.97532 0.371371 0.022 0.022 
74 0 0.39005 0 -0.324397 0.324397 2.1901 1.2415 1.80423 0 0 0 0 0 0 
75 1 0.907136 0 -0.196715 0.196715 5.71236 1.59428 2.36407 0 0.205516 4.93161 0.369496 0.022 0.022 
76 0 0.731918 0 -0.340178 0.340178 2.15343 1.21236 1.76178 0 0.213636 0 0.13023 0.022 0.022 
77 1 3.83422 0.324397 3.9101 3.0899 1.40895 0.630619 0.355355 0 0.135572 1.1956 0.113192 0.0162101 0.0162101 
78 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
