                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
1 10 4.76437 1.30199 3.93364 10.7222 0.363595 0.301781 0.0811224 0.0155487 0.0578017 0.138292 0.0905022 0.0399093 0.0453664 
2 62 18.1107 5.57199 38.3174 52.0117 0.207177 0.142539 0.0389132 0.0109741 0.0569589 0.0740511 0.0740695 0.042202 0.0705333 
3 67 15.8538 4.49085 46.6554 54.187 0.207523 0.140396 0.0358819 0.00555732 0.0639689 0.0377874 0.0636068 0.0657573 0.0902575 
4 43 15.7801 2.46902 24.7509 38.8062 0.22787 0.163202 0.0402724 0.0023517 0.0646576 0.0599475 0.0914291 0.0629686 0.0596988 
5 18 12.0377 0.768925 5.19335 24.4475 0.308444 0.191157 0.046737 0.00471838 0.0712457 0.109062 0.104488 0.0859877 0.145287 
6 14 8.61578 0.594416 4.7898 16.9937 0.334759 0.234371 0.0580462 0.00148874 0.0800287 0.174446 0.096796 0.0470047 0.0731249 
7 10 6.53827 0.272668 3.18906 11.7834 0.372861 0.283025 0.0719676 0.00212049 0.0852894 0.168572 0.116145 0.0591902 0.0324793 
8 5 4.06271 0.0245397 0.912755 8.41469 0.408352 0.311132 0.0985815 0.0054476 0.091747 0.13439 0.125405 0.0752138 0.111079 
9 3 2.84469 0.211319 -0.0560119 5.04991 0.524183 0.401606 0.118969 0 0.110733 0.238469 0.132246 0.055171 0.0983102 
10 2 1.55861 0.199049 0.242339 3.72509 0.644448 0.45662 0.142139 0 0.11528 0.338896 0.147928 0.071508 0.177401 
11 1 0.883309 0.0245397 0.0921515 1.8375 0.839814 0.652263 0.234361 0 0.126205 0.392659 0.137943 0.0650585 0.17761 
12 1 0.941559 0.410368 -0.351927 2.0121 0.804312 0.609608 0.213393 0 0.110052 0.417994 0.151008 0.0789777 0.117848 
13 1 0.721564 0 0.278436 1.6294 0.940444 0.712244 0.247988 0 0.121093 0.441662 0.254007 0.0804661 0.186875 
14 1 0.541672 0 0.458328 0.822846 1.40838 1.13647 0.355422 0 0.113835 0.677295 0.287549 0.0620296 0.0862493 
15 0 0.348032 0 -0.348032 0.401684 2.08105 1.11569 0.60425 0 0.166511 1.62223 0.245363 0.0291588 0.0224424 
16 0 0.164354 0 -0.164354 0.447982 1.38133 1.05646 0.590026 0 0.158396 0.525443 0.238632 0.140044 0.257069 
17 1 0.0127502 0 0.98725 0.0255004 8.8622 7.62116 4.12803 0 0.333356 1.73103 0.550348 0.0482428 0.0548943 
18 0 0.614697 0 -0.614697 0.640198 2.53196 0.883747 0.845965 0 0.143503 2.13753 0.568818 0.0222643 0.0223619 
19 0 0.198619 0 -0.198619 0.224119 1.86551 1.49364 0.88737 0 0.110293 0 0.669607 0.0240719 0.0247988 
20 0 0.0747065 0 -0.0747065 0.0747065 5.49177 2.58706 2.13668 0 0.102791 4.33023 0.372664 0.022 0.022 
21 0 0.0619563 0 -0.0619563 0.0619563 5.12038 2.84081 2.54708 0 0.937652 3.28197 0.0950889 0.022 0.022 
22 0 0.123913 0 -0.123913 0.136663 5.27943 1.91276 1.3129 0 0.257137 4.72065 0.371861 0.0234133 0.0239179 
23 0 0.0255004 0 -0.0255004 0.0255004 6.8838 4.42804 4.03628 0 0.271094 3.36026 0.348975 0.022 0.022 
24 0 0.0747065 0 -0.0747065 0.0747065 4.98362 2.58706 2.13668 0 0.498281 3.59516 0.635418 0.022 0.022 
25 0 0.125707 0.0122699 -0.137977 0.137977 2.64712 1.90363 1.20653 0 0.162858 1.37061 0.14771 0.0200436 0.0200436 
26 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
27 10 4.76437 1.30199 0 0.246416 1.68382 1.42446 0.858729 0 0.137113 0 0.149417 0.157009 0.0545439 
28 62 18.1107 5.57199 6.78834 6.94253 0.590927 0.400481 0.0852512 0.00697913 0.0611348 0.127478 0.119184 0.250148 0.291077 
29 67 15.8538 4.49085 15.8102 24.7873 0.340635 0.202436 0.0540931 0.00424221 0.0602981 0.0440364 0.0721447 0.14336 0.20193 
30 43 15.7801 2.46902 13.9662 35.2941 0.272207 0.163583 0.0417267 0.00688552 0.0594457 0.0648572 0.0922823 0.089569 0.145842 
31 18 12.0377 0.768925 6.16772 30.9378 0.295377 0.165345 0.0422359 0.00156578 0.0663012 0.0575308 0.0899442 0.0949952 0.18249 
32 14 8.61578 0.594416 8.09409 27.4073 0.289999 0.18364 0.045386 0.00162 0.068922 0.0614041 0.116441 0.0753981 0.143349 
33 10 6.53827 0.272668 8.60596 20.9318 0.294528 0.216896 0.0566908 0.00058903 0.0755845 0.074661 0.106737 0.0609354 0.100477 
34 5 4.06271 0.0245397 -0.835146 15.3459 0.353034 0.223367 0.0635285 0 0.0821391 0.194397 0.107644 0.0689562 0.0991231 
