                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
1 13 2.39703 0 10.603 6.57868 1.67771 0.426576 0.370985 0.133005 0.22381 1.26051 0.915082 0.0230844 0.0230844 
2 955 96.5729 40.9704 817.457 803.091 0.206802 0.0362617 0.0225444 0.00587301 0.129107 0.125613 0.0861576 0.0227918 0.0227919 
3 2065 167.335 79.9394 1817.73 1611.34 0.149378 0.0258774 0.0158943 0.00670073 0.0805684 0.101313 0.0595255 0.0228904 0.0228896 
4 2468 180.621 84.242 2203.14 1816.5 0.147928 0.0245688 0.0148451 0.00577939 0.0695886 0.113798 0.0466375 0.0229927 0.0230016 
5 2468 162.389 76.6264 2228.98 1783.63 0.165237 0.0248547 0.0148722 0.0056489 0.0627618 0.138622 0.0469588 0.0231286 0.0231795 
6 2209 147.229 55.1346 2006.64 1747.12 0.147873 0.0248042 0.0160674 0.00376969 0.0617276 0.11417 0.0550722 0.0234469 0.0234714 
7 1974 109.781 37.1379 1827.08 1540.12 0.186689 0.0264695 0.0170802 0.0034573 0.0594434 0.158755 0.0631284 0.0236988 0.0237674 
8 1581 86.331 22.7502 1471.92 1228 0.201741 0.0296616 0.0180862 0.00227816 0.0621126 0.174261 0.0642361 0.0238701 0.0238056 
9 1254 64.9869 16.1541 1172.86 1009.95 0.221895 0.0325399 0.0205476 0.00364825 0.0684511 0.194174 0.0648544 0.0239623 0.0239503 
10 951 58.1865 11.5475 881.266 796.855 0.204968 0.0364226 0.0243956 0.00496406 0.0760271 0.16942 0.0665755 0.0239715 0.0239859 
11 672 31.7911 6.22144 633.987 615.74 0.222601 0.040874 0.0291276 0.00333371 0.0927733 0.177984 0.0745432 0.0242023 0.0243593 
12 473 26.1223 2.11079 444.767 427.826 0.232043 0.0491351 0.0344708 0.0022302 0.10201 0.177526 0.0843842 0.0243313 0.0245391 
13 292 20.1376 1.05539 270.807 297.491 0.318704 0.0577971 0.0394244 0.00438907 0.111628 0.271469 0.0963283 0.0244192 0.0250337 
14 198 15.0452 0.730996 182.224 207.852 0.383783 0.0687941 0.045331 0.00434677 0.122444 0.341653 0.0868458 0.0244952 0.0249272 
15 122 13.5559 0.406599 108.037 141.33 0.465147 0.0819797 0.0613286 0.00450104 0.137219 0.418654 0.101563 0.0259496 0.027772 
16 64 8.90755 0.406599 54.6859 90.0865 0.431195 0.0988568 0.0584952 0.00568464 0.129752 0.379339 0.103697 0.0244486 0.0248644 
17 59 4.72995 0 54.2701 66.201 0.74069 0.120478 0.0852519 0.00595745 0.153872 0.550685 0.445752 0.0242555 0.0242555 
18 32 2.06323 0 29.9368 36.5445 0.718607 0.161639 0.108152 0.00870988 0.162204 0.660743 0.120092 0.0243254 0.0243254 
19 17 2.45562 0.406599 14.1378 34.9707 0.858156 0.145412 0.122645 0.0039482 0.147826 0.808148 0.155311 0.0240005 0.0240013 
20 14 1.7068 0 12.2932 16.5576 1.00063 0.238597 0.12983 0.0130679 0.133056 0.946061 0.115788 0.024111 0.024111 
21 8 2.87748 2.89085 2.23167 17.3788 0.939033 0.203404 0.179897 0.0039724 0.0923957 0.856379 0.255594 0.019758 0.019758 
22 10 1.98703 0.406599 7.60637 8.39896 1.60405 0.354647 0.192571 0.029221 0.144798 1.53634 0.164186 0.0223636 0.0223636 
23 5 1.46722 0.406599 3.12618 7.53666 2.0381 0.336886 0.20797 0 0.107305 1.98889 0.170068 0.0223941 0.0223941 
24 4 0.586765 0 3.41323 5.54762 1.33127 0.399582 0.233323 0 0.166921 1.22469 0.171078 0.0240989 0.0240989 
25 13 8.01932 2.56646 2.41423 24.6001 0.926383 0.177006 0.110518 0 0.0819988 0.894355 0.0847919 0.0206773 0.0206773 
26 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
27 13 2.39703 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
28 955 96.5729 40.9704 55.8747 91.751 0.536434 0.0975843 0.0777273 0 0.199542 0.467502 0.112526 0.0240881 0.0240881 
29 2065 167.335 79.9394 693.078 785.774 0.186883 0.0355293 0.0269194 0.000215194 0.113351 0.115672 0.0745058 0.0240699 0.0240706 
30 2468 180.621 84.242 1697.53 1717.28 0.155848 0.0244166 0.0174035 0.000514502 0.0803854 0.113927 0.052932 0.0239417 0.0239408 
31 2468 162.389 76.6264 2484.09 2446.87 0.123045 0.0204818 0.0138954 0.000178739 0.0657077 0.0834597 0.0456061 0.0241257 0.0241332 
