                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
1 13 2.39703 0 10.603 6.57868 1.6703 0.426576 0.370985 0.133005 0.22381 1.25177 0.913529 0.0230844 0.0230844 
2 955 96.5729 40.9704 817.457 803.091 0.213253 0.0362617 0.0225444 0.00587301 0.129107 0.126744 0.0992349 0.0227918 0.0227919 
3 2065 167.335 79.9394 1817.73 1611.34 0.154993 0.0258774 0.0158943 0.00670073 0.0805684 0.10135 0.0724198 0.0228904 0.0228896 
4 2468 180.621 84.242 2203.14 1816.5 0.154088 0.0245688 0.0148451 0.00577939 0.0695886 0.113848 0.063436 0.0229927 0.0230016 
5 2468 162.389 76.6264 2228.98 1783.63 0.173437 0.0248547 0.0148722 0.0056489 0.0627618 0.138607 0.0706132 0.0231286 0.0231795 
6 2209 147.229 55.1346 2006.64 1747.12 0.156004 0.0248042 0.0160674 0.00376969 0.0617276 0.114185 0.0741643 0.0234469 0.0234714 
7 1974 109.781 37.1379 1827.08 1540.12 0.194351 0.0264695 0.0170802 0.0034573 0.0594434 0.158849 0.0829156 0.0236988 0.0237674 
8 1581 86.331 22.7502 1471.92 1228 0.209845 0.0296616 0.0180862 0.00227816 0.0621126 0.174075 0.0867551 0.0238701 0.0238056 
9 1254 64.9869 16.1541 1172.86 1009.95 0.226197 0.0325399 0.0205476 0.00364825 0.0684511 0.193492 0.0799908 0.0239627 0.0239503 
10 951 58.1865 11.5475 881.266 796.855 0.210498 0.0364226 0.0243956 0.00496406 0.0760271 0.16871 0.0834849 0.0239715 0.0239859 
11 672 31.7911 6.22144 633.987 615.74 0.227133 0.040874 0.0291276 0.00333371 0.0927733 0.178969 0.0851069 0.0242023 0.0243594 
12 473 26.1223 2.11079 444.767 427.826 0.235799 0.0491351 0.0344708 0.0022302 0.10201 0.17779 0.0937234 0.0243312 0.0245391 
13 292 20.1376 1.05539 270.807 297.491 0.321341 0.0577971 0.0394244 0.00438907 0.111628 0.272195 0.102819 0.0244192 0.0250337 
14 198 15.0452 0.730996 182.224 207.852 0.386669 0.0687941 0.045331 0.00434677 0.122444 0.34237 0.0963084 0.0244952 0.0249272 
15 122 13.5559 0.406599 108.037 141.33 0.467949 0.0819797 0.0613286 0.00450104 0.137219 0.42037 0.107189 0.0259502 0.027772 
16 64 8.90755 0.406599 54.6859 90.0865 0.432309 0.0988568 0.0584952 0.00568464 0.129752 0.378247 0.111992 0.0244486 0.0248644 
17 59 4.72995 0 54.2701 66.201 0.739753 0.120478 0.0852519 0.00595745 0.153872 0.548686 0.446661 0.0242555 0.0242555 
18 32 2.06323 0 29.9368 36.5445 0.719099 0.161639 0.108152 0.00870988 0.162204 0.65983 0.127808 0.0243254 0.0243254 
19 17 2.45562 0.406599 14.1378 34.9707 0.861478 0.145412 0.122645 0.0039482 0.147826 0.811893 0.154165 0.0240005 0.0240013 
20 14 1.7068 0 12.2932 16.5576 1.00234 0.238597 0.12983 0.0130679 0.133056 0.946933 0.123202 0.024111 0.024111 
21 8 2.87748 2.89085 2.23167 17.3788 0.940795 0.203404 0.179897 0.0039724 0.0923957 0.858464 0.255081 0.019758 0.019758 
22 10 1.98703 0.406599 7.60637 8.39896 1.59981 0.354647 0.192571 0.029221 0.144798 1.53126 0.170098 0.0223636 0.0223636 
23 5 1.46722 0.406599 3.12618 7.53666 2.05324 0.336886 0.20797 0 0.107305 2.00445 0.169451 0.0223941 0.0223941 
24 4 0.586765 0 3.41323 5.54762 1.33855 0.399582 0.233323 0 0.166921 1.23204 0.175065 0.0240989 0.0240989 
25 13 8.01932 2.56646 2.41423 24.6001 0.929586 0.177006 0.110518 0 0.0819988 0.897053 0.0911117 0.0206773 0.0206773 
26 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
27 13 2.39703 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
28 955 96.5729 40.9704 55.8747 91.751 0.531677 0.0975843 0.0777273 0 0.199542 0.467601 0.0865283 0.0240881 0.0240881 
29 2065 167.335 79.9394 693.078 785.774 0.191433 0.0355293 0.0269194 0.000215194 0.113351 0.116429 0.0842408 0.0240699 0.0240706 
30 2468 180.621 84.242 1697.53 1717.28 0.16065 0.0244166 0.0174035 0.000514502 0.0803854 0.114041 0.0655406 0.0239417 0.0239408 
31 2468 162.389 76.6264 2484.09 2446.87 0.127014 0.0204818 0.0138954 0.000178739 0.0657077 0.0838156 0.0548907 0.0241257 0.0241332 
32 2209 147.229 55.1346 2958.73 2820.67 0.135059 0.0191554 0.0130533 0.000311677 0.0583134 0.101738 0.0528133 0.0241093 0.0241231 
33 1974 109.781 37.1379 2932.83 2846.5 0.110486 0.0189934 0.0132326 0.000200196 0.05695 0.0653435 0.0546026 0.0242189 0.0242934 
34 1581 86.331 22.7502 2536.92 2611.39 0.110994 0.0196456 0.0140087 0.00018195 0.0563519 0.0621191 0.0593951 0.0242234 0.0242588 
35 1254 64.9869 16.1541 2102.99 2153.3 0.125085 0.0216363 0.0152109 0.000300082 0.0604687 0.078938 0.0623209 0.024222 0.0242548 
36 951 58.1865 11.5475 1605.65 1720.12 0.138672 0.0240519 0.0169209 0 0.0711792 0.0863176 0.0683362 0.0242836 0.0242558 
